id	filename	md5	size	state
c804e8f4-bfe7-4ef6-b1ae-ca8cefa53aa7	96833a09-14ce-4483-b17d-f4328e0b68f5.htseq.counts.gz	7ebc7d5fad85fd8feec7d02ad2593e44	259453	live
c828ab83-ca89-4f6b-8df3-3c71de5a2153	6e2570b0-fc95-4ba9-a8a5-b79f6dea0246.htseq.counts.gz	680d5fa59443b75512ce6ba14cd92d67	257507	live
caaf288e-7672-46af-bc68-302afa0c6478	774b7b7e-f349-495e-8972-cbcb08907805.htseq.counts.gz	f260e0e53a11f8fb1a4ebb10da5a138d	254825	live
d45a9e29-bb66-4282-bd40-dbe273c93d6f	96ddce60-2be5-4f57-814b-35722aa00fd9.htseq.counts.gz	c04f51b73046709d6284d4f895124073	260544	live
d51531f1-0f18-4124-b972-f849dc1563c1	acf02cd5-270d-40c0-864d-abebe048f309.htseq.counts.gz	de405ec3dd6fd1a7672f6aa3ae9fa59d	252708	live
ec5f5efa-ac90-4c8c-931e-9d8997988fe2	d8f60cfe-3faa-406f-8ed6-2bb201dc36f4.htseq.counts.gz	473f5bcf9df852c1fd3b2b09cb359fee	252025	live
eed6ce81-2d05-4e3c-bb74-a4601ba8c161	2c6a02ee-c88a-4e23-8915-6976b95386e3.htseq.counts.gz	18bf1b4be5d9fb2dde5921e1ad07049e	258278	live
f1738145-2f3e-44a7-ad84-bd5bec2844d5	d6b9e128-8f20-43a1-9d16-b3e2b3d60e34.htseq.counts.gz	5780d63a2746ea9a98194e49385391e3	255162	live
fe6cf235-5518-4d77-ac26-6e760d77519e	be56acd5-8a0c-4891-9501-d386a4e2ccad.htseq.counts.gz	09b99fe1e11eb4bc8cda70d978999973	257195	live
fe96628d-dede-4ca5-b2fd-abe5fb05271f	af504400-7f49-4561-a8e4-8b0b6ca3d02d.htseq.counts.gz	45c86cde2260ca5c0865c45850066209	254710	live
